"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2022年3月2日","1.152","1.154","1.159","1.151","286.46M","-1.45%"
"2022年3月1日","1.169","1.161","1.170","1.154","815.15M","1.12%"
"2022年2月28日","1.156","1.166","1.169","1.146","803.42M","-0.86%"
"2022年2月25日","1.166","1.186","1.187","1.165","1.12B","-1.02%"
"2022年2月24日","1.178","1.202","1.202","1.170","928.25M","-3.20%"
"2022年2月23日","1.217","1.211","1.218","1.207","559.10M","0.91%"
"2022年2月22日","1.206","1.221","1.223","1.201","572.13M","-2.82%"
"2022年2月21日","1.241","1.240","1.242","1.231","375.38M","-1.59%"
"2022年2月18日","1.261","1.259","1.270","1.259","213.00M","-0.32%"
"2022年2月17日","1.265","1.269","1.275","1.257","316.17M","-0.08%"
"2022年2月16日","1.266","1.261","1.270","1.260","195.09M","1.28%"
"2022年2月15日","1.250","1.260","1.264","1.247","411.47M","-1.34%"
"2022年2月14日","1.267","1.270","1.274","1.261","223.80M","-0.71%"
"2022年2月11日","1.276","1.278","1.285","1.275","343.68M","-0.31%"
"2022年2月10日","1.280","1.290","1.290","1.271","281.43M","0.08%"
"2022年2月9日","1.279","1.275","1.285","1.273","353.59M","1.83%"
"2022年2月8日","1.256","1.265","1.266","1.246","257.24M","-0.48%"
"2022年2月7日","1.262","1.258","1.267","1.255","332.90M","3.70%"
"2022年1月28日","1.217","1.227","1.230","1.214","308.52M","0.33%"
"2022年1月27日","1.213","1.234","1.234","1.212","483.65M","-2.73%"
"2022年1月26日","1.247","1.250","1.259","1.239","640.35M","0.08%"
"2022年1月25日","1.246","1.258","1.258","1.242","562.51M","-1.97%"
"2022年1月24日","1.271","1.269","1.277","1.263","639.72M","-0.70%"
"2022年1月21日","1.280","1.278","1.284","1.273","513.42M","0.08%"
"2022年1月20日","1.279","1.245","1.279","1.245","419.00M","3.31%"
"2022年1月19日","1.238","1.244","1.250","1.233","365.91M","-0.16%"
"2022年1月18日","1.240","1.248","1.254","1.238","312.40M","-0.32%"
"2022年1月17日","1.244","1.255","1.260","1.240","492.41M","-0.72%"
"2022年1月14日","1.253","1.247","1.258","1.243","432.75M","-0.16%"
"2022年1月13日","1.255","1.263","1.265","1.251","437.23M","-0.16%"
"2022年1月12日","1.257","1.238","1.259","1.238","773.42M","2.86%"
"2022年1月11日","1.222","1.226","1.232","1.217","458.51M","-0.41%"
"2022年1月10日","1.227","1.213","1.230","1.209","483.40M","1.32%"
"2022年1月7日","1.211","1.196","1.214","1.196","470.56M","2.54%"
"2022年1月6日","1.181","1.183","1.190","1.175","366.54M","-0.76%"
"2022年1月5日","1.190","1.206","1.206","1.187","814.00M","-1.16%"
"2022年1月4日","1.204","1.211","1.211","1.198","555.21M","-0.66%"
"2021年12月31日","1.212","1.213","1.218","1.208","556.73M","1.34%"
"2021年12月30日","1.196","1.193","1.201","1.189","824.22M","0.50%"
"2021年12月29日","1.190","1.203","1.203","1.189","570.59M","-1.08%"
"2021年12月28日","1.203","1.203","1.206","1.196","563.25M","0.33%"
"2021年12月27日","1.199","1.202","1.206","1.199","433.46M","-0.25%"
"2021年12月24日","1.202","1.207","1.209","1.199","347.10M","0.08%"
"2021年12月23日","1.201","1.195","1.202","1.191","361.94M","1.01%"
"2021年12月22日","1.189","1.197","1.201","1.188","476.62M","-0.08%"
"2021年12月21日","1.190","1.180","1.191","1.178","707.88M","1.02%"
"2021年12月20日","1.178","1.196","1.199","1.177","721.79M","-1.83%"
"2021年12月17日","1.200","1.210","1.211","1.199","604.02M","-0.58%"
"2021年12月16日","1.207","1.212","1.212","1.200","785.25M","-0.25%"
"2021年12月15日","1.210","1.222","1.227","1.210","487.47M","-0.82%"
"2021年12月14日","1.220","1.230","1.233","1.220","469.00M","-1.69%"
"2021年12月13日","1.241","1.247","1.257","1.241","624.62M","0.16%"
"2021年12月10日","1.239","1.246","1.251","1.238","535.13M","-0.64%"
"2021年12月9日","1.247","1.245","1.252","1.244","477.00M","0.73%"
"2021年12月8日","1.238","1.242","1.244","1.234","478.65M","0.24%"
"2021年12月7日","1.235","1.223","1.238","1.219","708.37M","2.24%"
"2021年12月6日","1.208","1.217","1.223","1.208","652.05M","-1.71%"
"2021年12月3日","1.229","1.225","1.233","1.215","508.68M","-0.08%"
"2021年12月2日","1.230","1.217","1.231","1.216","405.68M","0.16%"
"2021年12月1日","1.228","1.216","1.232","1.216","453.64M","1.74%"
"2021年11月30日","1.207","1.239","1.241","1.200","910.72M","-2.50%"
"2021年11月29日","1.238","1.244","1.264","1.234","834.44M","-1.43%"
"2021年11月26日","1.256","1.277","1.279","1.256","662.57M","-2.18%"
"2021年11月25日","1.284","1.283","1.285","1.275","530.90M","-0.16%"
"2021年11月24日","1.286","1.281","1.289","1.277","471.42M","0.31%"
"2021年11月23日","1.282","1.284","1.288","1.280","495.12M","-0.85%"
"2021年11月22日","1.293","1.303","1.304","1.291","250.39M","-0.39%"
"2021年11月19日","1.298","1.296","1.301","1.288","489.24M","-0.84%"
"2021年11月18日","1.309","1.313","1.316","1.304","405.67M","-1.28%"
"2021年11月17日","1.326","1.325","1.329","1.321","355.03M","-0.08%"
"2021年11月16日","1.327","1.317","1.330","1.314","227.74M","1.22%"
"2021年11月15日","1.311","1.315","1.319","1.306","286.28M","0.00%"
"2021年11月12日","1.311","1.319","1.322","1.307","310.20M","-0.08%"
"2021年11月11日","1.312","1.289","1.314","1.287","276.37M","2.10%"
"2021年11月10日","1.285","1.284","1.288","1.271","396.40M","-0.08%"
"2021年11月9日","1.286","1.293","1.296","1.282","405.24M","0.00%"
"2021年11月8日","1.286","1.291","1.291","1.283","246.24M","-0.62%"
"2021年11月5日","1.294","1.296","1.301","1.288","461.87M","-0.46%"
"2021年11月4日","1.300","1.302","1.308","1.299","283.87M","0.31%"
"2021年11月3日","1.296","1.301","1.308","1.290","507.26M","-0.46%"
"2021年11月2日","1.302","1.323","1.330","1.301","489.78M","-0.23%"
"2021年11月1日","1.305","1.318","1.319","1.299","564.92M","-0.91%"
"2021年10月29日","1.317","1.322","1.325","1.316","243.97M","-0.75%"
"2021年10月28日","1.327","1.333","1.338","1.324","323.35M","0.00%"
"2021年10月27日","1.327","1.339","1.339","1.326","388.22M","-1.56%"
"2021年10月26日","1.348","1.360","1.362","1.345","262.51M","-0.66%"
"2021年10月25日","1.357","1.348","1.361","1.347","390.26M","0.15%"
"2021年10月22日","1.355","1.357","1.362","1.351","397.49M","0.52%"
"2021年10月21日","1.348","1.359","1.364","1.345","462.98M","-0.66%"
"2021年10月20日","1.357","1.350","1.371","1.345","586.72M","1.19%"
"2021年10月19日","1.341","1.328","1.345","1.328","542.10M","1.67%"
"2021年10月18日","1.319","1.325","1.327","1.313","766.04M","0.00%"
"2021年10月15日","1.319","1.314","1.323","1.305","482.30M","0.53%"
"2021年10月14日","1.312","1.313","1.325","1.309","245.56M","0.08%"
"2021年10月13日","1.311","1.307","1.313","1.303","296.00M","0.31%"
"2021年10月12日","1.307","1.313","1.323","1.305","423.92M","-1.28%"
"2021年10月11日","1.324","1.310","1.334","1.309","621.42M","2.16%"
"2021年10月8日","1.296","1.311","1.311","1.291","545.32M","0.47%"
"2021年9月30日","1.290","1.286","1.295","1.281","552.28M","-0.31%"
"2021年9月29日","1.294","1.275","1.297","1.267","784.29M","0.15%"
"2021年9月28日","1.292","1.276","1.295","1.274","389.57M","1.49%"
